主题,标题,日期,小红书封面,小红书文案,小红书分享图,小红书链接,飞书文档链接,标签
Transformer 训练与推理图解,Transformer 训练与推理图解 Day32/100,2025/09/01,小红书封面 Day32.png,"Transformer 的架构拆解请见上一篇笔记，本篇笔记介绍训练与推理流程，带你理解 Transformer 如何使用。
一、训练过程
训练是个逐步优化的过程，咱们以 “我爱你”→“I love you” 这个语料对为例，看看它是怎么训练的。
1️⃣ 把原文 “我爱你” 输入到编码器里。编码器里有多层注意力层，这些注意力层会对 “我”“爱”“你” 进行处理，捕捉它们之间的关系，完成编码，将原文的语义信息转化为向量表示，之后把这些编码好的信息传递给解码器。
2️⃣ 向解码器输入译文的第一个 token，也就是 “I”。解码器结合编码器传来的信息，输出第一个 token 的预测结果，比如 “Me”。然后计算预测结果 “Me” 和真实的第一个 token “I” 之间的误差。之后，把译文的前两个 token “I love” 输入解码器，解码器再输出第二个 token 的预测结果，像 “like”，再计算 “like” 和真实的 “love” 之间的误差。重复此过程至最后一个 token“you”。
3️⃣ 利用这些误差，通过反向传播的方式去更新编码器和解码器里各层的参数，让模型在后续处理类似内容时，能更准确地生成译文。对于其他语料对，也是按照这样的流程进行训练，不断优化模型参数。
二、推理过程
推理时，不再需要像训练那样计算误差和反向传播更新参数，而是基于训练好的模型，一步步生成结果。还是以翻译任务为例，比如要把 “我爱你” 翻译成英文。
1️⃣ 将 “我爱你” 输入编码器，编码器里的多层注意力层依次处理，捕捉 “我”“爱”“你” 之间的语义关系，完成编码，把原文的语义信息转化为向量表示，然后传递给解码器。
2️⃣ 解码器开始工作，向解码器输入起始标志（比如特殊的起始 token），解码器结合编码器传来的编码信息，生成第一个输出 token，比如 “I”。把生成的第一个 token “I” 再输入解码器，解码器结合编码器的信息以及已生成的 “I”，生成第二个 token “love”。
3️⃣ 继续逐步生成，直到解码器生成表示结束的 token，整个推理过程就完成了，得到完整的译文 “I love you”。对于其他输入内容，也是按照这样的逐步生成方式，逐步生成得到对应的输出。
特别感谢 @夜雨思晗 在机器学习与 Transformer 篇提供学习思路与流程图","Day32 Transformer 推理流程详解.webp,Day32 Transformer 训练流程详解.webp",https://www.xiaohongshu.com/discovery/item/68c0c5d9000000001c013ba8?source=webshare&xhsshare=pc_web&xsec_token=ABcdTSKFsUT5zYRjZ8Jv3lr0zH34N-fuF8a_F2HmXOfsU=&xsec_source=pc_share,【Day32】Transformer —— 训练与推理,
Transformer 架构流程拆解,Transformer 架构流程拆解 Day31/100,2025/08/31,小红书封面 Day31.png,"上一篇我们理解了 Transformer 的注意力机制，这一篇继续拆解 Transformer 的其他模块。
一、Transformer 架构拆解
其靠多头注意力机制构建编码器 - 解码器，核心结构如下：
- 位置编码：Transformer 本身没法感知文字顺序，所以引入位置编码确定每个 token 位置，其不随模型训练更新。
- 多头注意力：多个 “注意层” 同时工作，从不同角度捕捉文字间的关系。
- 残差连接 + 层归一化：残差连接把注意力模块的输入和输出加起来，能缓解深度网络训练时的梯度消失问题，给信息传递开 “快捷通道”；层归一化把数据调整到合适分布，让后续计算更稳定，类似给数据 “标准化”。
- 前馈神经网络：对经过注意力和归一化后的向量做进一步非线性变换，提取更复杂特征，就像对向量 “深加工”，让它包含更多有用信息。
- 带掩码的多头注意力：这里的注意力是解码器去关注编码器输出的特征，建立起输入和输出之间的关联。
- 线性层 & Softmax：线性层将多次处理的向量映射到输出词汇维度，得到各词汇得分；Softmax 把得分转成概率，选出概率最高的词汇作为输出。
“多头注意力 + 前馈神经网络 + Add & Norm” 结构会重复 N 次（常为 6 次），每次为一个 Block，不断提炼输入特征。
二、Transformer 编码解码机制详解
（一）Encoder 结构
- Encoder block 与 Encoder：通过 “注意力+前馈+残差和归一” 就能构造出一个 Encoder block，其叠加起来就组成了 Encoder。第一个 Block 的输入是句子单词的表示向量矩阵，后续 Block 的输入是前一个的输出。
- 多层的必要性：单个只能完成 “局部特征提取”，而自然语言的理解、生成需要 “多层抽象”。层堆叠的核心价值，就是让模型通过 “逐层加工” 实现这种抽象。
（二）Decoder 结构
- 掩码多头与普通多头注意力的区别：掩码故意遮信息，分填充掩码和序列掩码（用在解码器，遮 “未来信息”，保证模型按顺序生成内容）。
- 解码多头注意力模块的配合：掩码后向量 Q 与 V 计算得上下文向量；第一个掩码多头注意力（自注意力）的输出，作为第二个多头注意力（交叉注意力）的 “Q”，带着需求与编码器传来的 “K”“V” 配合，生成下一步特征。
#大模型[话题]#","Day31 Transformer 架构拆解.png,Day31 Transformer 中的编码解码机制.png",https://www.xiaohongshu.com/discovery/item/68c0b059000000001d027a97?source=webshare&xhsshare=pc_web&xsec_token=ABcdTSKFsUT5zYRjZ8Jv3lr7at1jY6AZZ5lhxFS62ZQ4w=&xsec_source=pc_share,【Day31】Transformer ——架构与编码解码机制,
Transformer 再识注意力机制（理性理解）,再识Transformer注意力机制（理性理解） Day30/100,2025/08/30,小红书封面 Day30.png,"上一篇从感性触发理解注意力机制，这一篇我们将拆解其数学原理。
一、自注意力的核心逻辑
Attention 的目标是给句子里的词提取特征。要真正弄懂一个词的意思，得结合上下文，靠句子里其他词的特征来补充。
拿电商搜索场景打比方：用户输入内容（Query）会被后台拆解，系统去匹配对应的关键词（Key）。但用户真正想要的，是关键词背后的商品（Value）。和用户 Query 匹配度越高的商品，权重就越高，排名也越靠前。在自然语言处理（NLP）领域，也是同样的道理。
在 Transformer 里，输入的序列（不管是文本还是图像等）会先通过嵌入层（Embedding）变成向量形式，接着经过一个线性层，得到 3 个核心向量：
Q（查询，负责 “查询需求”，可以是句子里任意一个被选中的词）;
K（键，负责 “匹配需求”，代表这个词表现出来的特征）;
V（值，负责 “提供价值”，代表这个词隐藏的真实特征）—— 这是自注意力的基础。
在 Attention 的计算过程中，Matmul 是做向量的点积运算，用来计算相似度；Scale 是缩放操作，防止向量点积后得到的值太大；Mask 只有在 Decoder 阶段才会生效，Encoder 阶段用不上；SoftMax 是做归一化处理。
自注意力的特点很鲜明：句子里的每个词都能和句子中所有的词建立联系，而且这种联系是语义层面的，和词之间的距离没太大关系，不会像 RNN 那样，因为词之间距离太远，就丢失相互间的关系。
二、多头自注意力机制
“一千个读者眼中有一千个哈姆雷特”，多头的意义就在于体现多义性。简单来说，就是有多个不同的注意力计算头同时工作，从不同的角度去捕捉信息。在 Transformer 的架构里，通常会有 8 个注意力头。
用 “描述一幅画” 来举例：
单头注意力：就像一个人看这幅画，只能把注意力集中在一个方面，比如只关注画里的色彩。
多头注意力：好比有好几个人同时看这幅画，一个人专注看色彩搭配，一个人专注看线条构图，还有一个人专注看画面主题表达等。最后把这些人看到的不同方面的信息汇总起来，就能更全面、更细致地描述这幅画了。
最后，总结一下，引入注意力后，原编码解码结构发生了两点改变：
1)注意力的计算与元素的距离无关，模型从此不健忘。
2)注意力可以并行计算，模型训练速度从此飞升。","Day30 再识注意力机制（理性理解 2）.png,Day30 再识注意力机制（理性理解 1）.png,Day30 再识注意力机制（理性理解 2） (2).png",https://www.xiaohongshu.com/discovery/item/68bee821000000001d016326?source=webshare&xhsshare=pc_web&xsec_token=ABO0fvJvaanNPTLq1k3u0ZiBZXkwNp4v-6UPcimecos8g=&xsec_source=pc_share,【Day30】Transformer——再识注意力机制（理性理解）,
Transformer 初识注意力机制（感性理解）,初识Transformer注意力机制（感性理解）Day29/100,2025/08/29,小红书封面 Day29.png,"作为 AI 和大模型学习路上的 “拦路虎”，注意力机制一直是我想啃下的硬骨头。今天认真梳理后，总算有了清晰认知，分享给同样在学习的伙伴们～
一、注意力机制的核心作用
简单来说，它就是让模型能像人类一样，理解序列里元素之间的关系。
举个例子，“这老板真水” 这句话，单看 “这老板真” 没特别的，但 “水” 字是关键。这里的 “水” 不是物理上的水，而是形容老板水平低。人类能懂，是因为我们会 “注意” 到 “水” 和 “老板” 的修饰关系。而注意力机制，就是要让机器也具备这种 “注意” 并理解元素间关系的能力。
二、用相亲故事感性理解原理
假设有一场 3 人相亲会，通过这个故事能更形象地看懂注意力机制怎么运作：
- 生成关键词（k）：每个嘉宾都有自己的 “包装”，也就是关键词。比如有的带 “球鞋” 包装，有的带 “化妆规整” 包装，这些关键词是吸引注意力的引子。
形成问题（q）：每个人都带着自己的需求，形成要问其他嘉宾的问题。
- 产生注意力（a）：嘉宾带着自己的问题，查看所有嘉宾（包括自己）的关键词后，就对每个嘉宾产生了一定的注意力。
- 关注真实信息（v）：关键词只是包装，被识破包装后，能反映嘉宾真实情况的信息（v）才是有价值的。
- 得到收获（c）：嘉宾最终的收获，是自己的注意力对所有嘉宾实际价值的加权平均，这里面也包括自己的价值。
在这个故事中我们重点注意以下几点：
1）注意力是嘉宾带着自己的问题(q)在查看所有人的关键词(k)后才产生的。这其中的所有人也包括嘉宾自己。
2）被识破包装伎俩后的信息(v)才是真正有价值的东西。关键词只能吸引注意力，大家关心的是去伪存真后的真实信息(v)
3）嘉宾的收获(c)是自己的注意力(a)对所有嘉宾实际价值的加权平均。这其中也包括嘉宾自己
理解到这一步，对注意力机制的感性认知就比较到位了。接下来可以进一步从技术层面，通过数学运算去深入学习～
#AI产品经理[话题]# #产品经理[话题]# #深度学习[话题]# #大语言模型[话题]# #transformer[话题]# #AI[话题]# ","Day29 注意力机制 感性理解 1.png,Day29 注意力机制 感性理解2.png",https://www.xiaohongshu.com/discovery/item/68bee1d4000000001b01e905?source=webshare&xhsshare=pc_web&xsec_token=LBf3EB9c66h8v2Auu-0zOQ130twHj2EyuT3aPWStvfpgE=&xsec_source=pc_share,【Day29】Transformer——初识注意力机制（感性理解）,
Transformer Encoder-Decoder 架构,Transformer 中的Encoder-Decoder 架构 Day28/100,2025/08/28,小红书封面 Day28.png,"如果说 RNN 是如今热门的大语言模型的爷爷，那 Transformer 就是大模型的爸爸，搞懂 Transformer，有助于理解大语言模型的本质。而今天拆解 Encoder-Decoder，为理解 Transformer 打基础。

1. 先搞懂 Seq2Seq 概念

简单说就是 “输入一个序列，输出另一个序列”，关键是输入输出长度可变。
举个例子：中译英 “这老板真水”→“This boss is really a joke”，中文 5 字、英文 6 词，还不是逐字对应，这就是典型场景。

其应用领域超广：

文本摘要：长文本→短摘要
阅读理解：文章 + 问题→答案
语音识别：语音信号→文字
时间序列预测：30 天数据→7 天预测

2. Encoder-Decoder 是什么？

👏 它是解决 Seq2Seq 问题的经典架构，是算法统称不是具体算法。

Encoder（编码）：把输入转成机器能懂的 “代码”
Decoder（解码）：把机器 “代码” 转成人能懂的输出

工作流程：Encoder 将输入编成固定维度向量→Decoder 解码该向量输出结果

3. 编码解码的核心差异（训练 vs 推理）

训练（编码，学规律）：
有 “输入 + 真实答案”（比如翻译的原文 + 标准译文）
目标是调参数降误差，还能跳步用真实中间结果

推理（解码，用规律）：
只有 “输入”，答案要逐步生成
每步都依赖上一步输出，串行来

4. 关键问题：怎么避免误差累积？

如果训练推理都依赖上一步预测，会有大问题：训练时一步错步步错，推理时误差还会放大。

✨ 解决方案：Teacher Forcing（教师强制）
训练时：不用模型前一步预测，直接喂 “真实中间结果”。比如翻译 “我爱中国”→“I love China”，生成 “love” 时，输入是真实的 “I”，确保每步都学正确信息
推理时：虽仍依赖上一步，但模型已通过真实数据掌握正确规律，小误差不易放大

Transformer 用的就是这个架构～而决定效果的关键，就涉及到 “Attention is All You Need” 里的注意力机制啦，下一篇笔记继续更！💪",Day28 Transformer_Encoder-Decoder.png,https://www.xiaohongshu.com/discovery/item/68bd8a76000000001d02388d?source=webshare&xhsshare=pc_web&xsec_token=ABgKfOW9jVIwkb3RZDZyD9aNmrTr1TIpX7GFnOVznRr6s=&xsec_source=pc_share,【Day28】Transformer——编码器解码器架构,
深度学习 RNN 局限与优化,学习笔记｜100 天成为AI产品经理 Day27/100,2025/08/27,小红书封面 Day27.png,"一、RNN 的三大局限
虽然 RNN 在序列建模的早期是件“黑科技”，但真正落地时却暴露了不少“短板”。
        
1️⃣ 梯度问题：训练遇到“大难题”
RNN 是由多个计算单元首尾相连的，一个问题会“回传”多个步骤，而在这个过程中，数据传递的信息可能会“渐渐模糊”（梯度消失）或者“夸大失真”（梯度爆炸）。尤其是在处理长序列时，RNN 的训练变得极不稳定，模型越来越难以捕捉重要的信息。
        
2️⃣ 记忆力“短板”：总是“忘前面的事”
RNN 的记忆是“短期的”。当你输入的序列越长，前面内容的信息就越容易丢失。比如，在阅读一篇文章时，RNN 很难把文章开头的重要背景记到最后，这让它在处理上下文联系复杂的任务时表现欠佳。
        
3️⃣ 性能局限：效率拖了后腿
RNN 的计算是一步接着一步的，没法并行处理大量文本。这意味着它在面对超大规模语料库时，训练速度会严重拖慢，成本也极高。
        
二、RNN 的未来：真的被淘汰了吗？
虽然 RNN 的局限让它逐渐“退居幕后”，不少更强大的架构（如 Transformer）接替了它的位置，但 RNN 并没有完全退出历史舞台，它依然在特定场景中维护自己的优势。
        
🔹 LSTM &amp; GRU：升级了的“记忆高手”
LSTM 和 GRU 是在 RNN 基础上的延伸版，通过设计“门控机制”，让模型能够选择性地遗忘或记住信息，解决了梯度消失的问题。这种改良为像语音识别、时间序列预测等任务赋予了新的可能。
        
🔹 新兴变种：开创新的应用场景
近年来，例如 xLSTM 这样的小规模改良架构涌现，不仅保留了 RNN 的记忆特性，还优化了并行计算能力，使它更容易适配设备端的实时推理场景。它们对长序列任务有更强的适应能力，尤其适合像嵌入式设备、移动应用等计算资源有限的环境。
        
🔹 特定任务中的顽强生命力
RNN 仍然在对计算效率要求不高、任务较为小型化的场景中占据一席之地。比如一些短语级语言处理、时间序列监测等，仍然可以用 RNN 高效解决。
        
🎯 复盘收获
🔹RNN 的循环设计实现了“短期记忆”，适合处理序列型数据；
🔹它的训练通过时间反向传播完成，但容易受到梯度消失与爆炸问题的影响；
🔹RNN 的短时记忆能力和计算效率不足使它在面对复杂的长序列任务时力不从心；
🔹尽管局限显著，但改良版本如 LSTM 和最新变种，依然让 RNN 在特定场景中具备实用价值。",Day27 RNN 与 LSTM.png,https://www.xiaohongshu.com/discovery/item/68b83549000000001d038a1a?source=webshare&xhsshare=pc_web&xsec_token=ABHB21pYMm3SX8TpWJ3HRaWtlEtJd9KE6m5cifoXl5r4k=&xsec_source=pc_share,【Day27】深度学习——RNN 局限与优化,
深度学习 RNN 基础,学习笔记｜100 天成为AI产品经理 Day26/100,2025/08/26,小红书封面 Day26.png,"“前馈网络只能‘看到现在’，RNN 让机器第一次‘有了记忆’。”
1️⃣ RNN 是什么？循环在哪里？
传统的神经网络（如 MLP）是 输入 → 输出，一次性走完；但 RNN 是 一条数据分多步走，每一步都“记住前面的内容”。
我们用一个例子感受下差异👇：
前馈网络（普通神经网络）：看一句话：“我爱你” → 一起扔进去，直接输出结果
RNN（循环神经网络）：先看“我”，再看“爱”，再看“你”，每一步都参考前面记住的状态，再决定怎么理解现在
这就是“循环”所在 —— 每一步的输出会作为“记忆”，传给下一步使用。
2️⃣ RNN 的“记忆装置”怎么构成？🧠
RNN 的核心是一个 隐藏状态 h，它像一个记事本，不断更新和携带上下文信息。
整个结构可以用一组纯字母公式简单表示：
h(t) = activation( W_x * x(t) + W_h * h(t-1) + b )
x(t)：当前时刻的输入（例如一个字）
h(t-1)：上一个时刻的隐藏状态（记忆）
W_x, W_h：权重矩阵
activation()：激活函数，常用 tanh 或 ReLU
这样一来，模型就可以边看边“记”：每个词不仅被单独理解，还结合了前面的语境。
3️⃣ 时间展开：RNN 是“拉长的神经网络” ⏳
虽然结构上只有一个模块，但实际用时，RNN 会在时间上被“展开”：
比如一句话有 5 个词，它会变成这样的结构：
输入： x(1) → x(2) → x(3) → x(4) → x(5)
记忆： h(0) → h(1) → h(2) → h(3) → h(4) → h(5)
输出： y(1)   y(2)   y(3)   y(4)   y(5)
每个时刻的 h(t) 都由上一个时刻的 h(t-1) 和当前输入 x(t) 决定。这就是所谓的 “时间步展开”（Time Unrolling）。如：
第一步（t=1）：没有 “过去的记忆”，所以用初始记忆 h (0)（通常是全 0 向量），结合当前输入 x (1)，算出第一个记忆 h (1)；
第二步（t=2）：不再用 h (0)，而是用 “上一步的记忆 h (1)”，结合当前输入 x (2)，算出新记忆 h (2)—— 这时候 h (2) 里已经包含了 “x (1)+x (2)” 的信息；
···
#学习日常[话题]# #大模型[话题]# #AI产品经理[话题]# #搭建个人知识体系[话题]#","Day26 RNN 模型训练.png,Day26 RNN 流程.png",https://www.xiaohongshu.com/discovery/item/68b80e0e000000001d02db7e?source=webshare&xhsshare=pc_web&xsec_token=GBFtWU8Pk1D78lI7zAs3NAUgXwPJXdFdwG_kX3WHY6G6c=&xsec_source=pc_share,【Day26】深度学习——RNN 基础,
深度学习 RNN 前话 自然语言数字化,学习笔记｜100 天成为AI产品经理 Day25/100,2025/08/25,小红书封面 Day25.png,"此篇为学习 RNN 前需要知道的知识
1️⃣ 自然语言必须数字化处理
在进入 RNN 网络之前，我们需要搞清楚一个最基本的问题：模型怎么处理文本？
答案是：把语言转化为数值向量序列，这个过程叫做Embedding（嵌入）。
为什么要这样做？因为神经网络只能处理数字，而不能理解“字符”或“词”的表面形式。
2️⃣ 文本预处理（基本处理）
文本预处理是 NLP 的第一步，它将原始文本转化为机器能理解的格式。常见的步骤包括：
去除停用词（如“的”、“是”），让模型专注有意义的词；
- 小写化，避免因大小写不同导致的词不一致；
- 去除标点符号，减少不必要的干扰；
- 词干提取和词形还原，统一词形（如将“running”还原为“run”），确保模型理解一致。
3️⃣ 从 token 到向量：构建语义空间
第一步，Tokenization（分词/分字） 。
常见的分词方法包括空格分词（如英文“i love NLP”）；基于字典的分词（如中文“我喜欢上班”）；统计分词（通过最大匹配法等）；以及子词分词（如BPE、WordPiece，将词分解为小单元）。
举例：
“我爱你” → [""我"", ""爱"", ""你""]
“ChatGPT 是什么？”→ [""Chat"", ""G"", ""PT"", ""是"", ""什么"", ""？""]
第二步，指定token和数字的对应关系。每个 token 被映射为一个唯一的编号（如 ""我"" → 1502），但这只是标识，并不包含语义。
第三步，词向量嵌入（Word Embedding）。为了让模型理解 token 的语义，我们需要进一步将其编码为一个向量。主要分为几个步骤：
1）维度变低且数值有零有整。原本一个token是用一个只有0和1的高维向量表示的，但现在变为了有零有整的低维向量，比如[3.1, 2.6, 7]这样。
2）语意相近的token编码结果会比较相似。比如我们会发现进行词嵌入处理后以下4个token的编码可能长这样：树→[3,5,7]，木→[1,3,4]，叶→[2.3,1.5,2.8]，海→[13,25,48]。
如果把每个token编码中的三个数字当做xyz坐标，“树”、“木”、“叶”会非常接近，且他们距离“海”的距离都比较远。
3）token编码之间的加减也具有语义。比如我们会发现“树”-“木”≈“叶""
更多更详细的自然语言预处理、文字表示方法以及句子和文档表示方法请见图片。
#学习日常[话题]#","Day25 自然语言处理方法 (1).png,Day25 自然语言处理方法.png,Day25 自然语言处理方法 (2).png",https://www.xiaohongshu.com/discovery/item/68b7f273000000001d01d4a9?source=webshare&xhsshare=pc_web&xsec_token=ABJCHtJ_mHZETp2HRKJo7d0-wXSOD2Rn3fopMTekSxNo8=&xsec_source=pc_share,【Day25】深度学习——RNN,
深度学习 CNN 应用,学习笔记｜100 天成为AI产品经理 Day24/100,2025/08/24,小红书封面 Day24.png,"在上一篇里，我们讲清了 CNN 的四大核心零件：全连接、卷积、池化、激活函数。 今天我们升级一层，搞懂 CNN 的完整工作流程，并结合 LeNet-5 案例，看看机器是如何学会“看”的。

1️⃣ CNN 的工作流程 🛠️
假设我们想用 CNN 识别一张手写数字 “9”，CNN 会经历 6 个步骤：
① 数据输入（Input） 🏁
将彩色图像转成数字矩阵，比如 RGB 三通道
每个像素是 0-255 的数值，模型只接收数字，不“看图像”

② 卷积提取特征（Convolution） 🔍
用卷积核扫描整张图像，提取边缘、纹理、形状等关键特征
第一层卷积核学到“低级特征”，如线条、边角
深层卷积核学到“高级特征”，如眼睛、鼻子、轮廓

③ 激活函数（ReLU） ⚡
将卷积后的特征做非线性变换
丢掉小于 0 的噪声，保留更显著的轮廓
让模型“更聪明”，不被无用细节干扰

④ 池化压缩（Pooling） 🏞️
缩小特征图尺寸，保留最重要的特征
最大池化 → 提取“最强信号”
平均池化 → 提取“整体趋势”
效果：大幅减少计算量，提升模型对光照、角度等变化的鲁棒性。

♻️ 重复②-④堆叠多个卷积层和池化层，逐步提取更高级、更抽象的特征，并将最后一个池化层的输出展平成一个一维向量。

⑤ 全连接层（Fully Connected Layer） 🧠
把卷积提取到的高维特征压平，送进“大脑”
不再关心像素，而是直接基于提取到的特征做分类

⑥ Softmax 输出（Output） 📊
给出每个类别的概率
例如：
“9”的概率 = 95%
“3”的概率 = 2%
“0”的概率 = 1%
取最大概率作为预测结果

2️⃣ LeNet-5：CNN 的“开山之作” 🏛️
1998 年，Yann LeCun 发布 LeNet-5，帮助美国邮政局实现手写邮编自动识别。
输入：32×32 像素手写数字
卷积层 ×2 → 池化层 ×2 → 全连接层 ×2 → Softmax
参数量：仅 6 万！在当时非常高效
应用效果：实现自动分拣邮件，显著降低人工成本
📌 意义：LeNet-5 开创了深度学习在视觉领域的先河，后来 AlexNet、VGG、ResNet 等架构都继承了它的思想。

3️⃣ 总结 📝
CNN流程：输入 → 卷积 → 激活 → 池化 → （重复）→ 全连接 → 输出

本笔记来源作者“夜雨思晗”《从0构建大模型知识体系（2）：给模型开眼的CNN》

﻿#学习日常[话题]#﻿ ",Day24 CNN 经典流程.png,https://www.xiaohongshu.com/discovery/item/68af0b78000000001b01c594?source=webshare&xhsshare=pc_web&xsec_token=ABv5ey7C8ffBbJYp3jhL0HmKesSQZ4TSFiYPnv6kGiByU=&xsec_source=pc_share,【Day24】深度学习——CNN应用,
深度学习 CNN 基础,学习笔记｜100 天成为AI产品经理 Day23/100,2025/08/23,小红书封面 Day23.png,"“CNN 就像给机器装了一双会观察的眼睛。”

CNN （Convolutional Neural Network，卷积神经网络）是让机器学会“看”的关键技术。但在理解它的流程前，我们先搞清楚 CNN 的四大核心零件：全连接、卷积、池化、激活函数。

1️⃣ 全连接层（Fully Connected Layer）🔗
原理：每一个输入都和下一层的每一个神经元相连，每条连接有一个权重。
优点：概念直观，适合小型任务
缺点：参数量随输入规模爆炸，效率低下
📌 结论：全连接适合处理“低维结构化数据”，但处理高维图像会让计算量不可控。

2️⃣ 卷积层（Convolution Layer）🧩
卷积是 CNN 的灵魂。它模仿人类视觉皮层，只看“局部”，提取关键特征。
核心思路：卷积就是把一个小矩阵（卷积核，Filter）放到一个大矩阵上从头到尾滑一遍以得到一个新的矩阵。卷积核会在训练过程中自动学习，专门“找”对分类最有用的特征
为什么高效：
局部感知 → 每次只关注局部区域，避免无谓计算
参数共享 → 同一个卷积核可以扫描整张图像，极大减少参数数量
举例 🌰：想象你在看一张人脸照片，不会盯着每个像素，而是先看“鼻子”“眼睛”“嘴巴”这些局部特征。CNN 也是类似的工作方式。

3️⃣ 池化层（Pooling Layer）🏞️
卷积提取的特征图通常很大，池化的作用是 压缩数据，保留核心信息。
核心思路：池化就是把一个小窗口放到一个大矩阵上从头到尾滑一遍以得到一个新的矩阵。主要池化方法：
最大池化（Max Pooling） → 取窗口内的最大值，保留最显著特征
平均池化（Average Pooling） → 取窗口内的平均值，平滑特征
好处：
1.降低特征图维度，减少计算量
2.提高模型鲁棒性，忽略微小干扰
举例 🌰：高清照片 → 缩略图，虽然像素减少了，但主要轮廓和关键信息依然保留。

4️⃣ 激活函数（Activation Function）⚡
卷积和全连接的计算本质上是线性的，但现实世界的数据往往是非线性的。激活函数的作用就是让模型“学会弯曲”，理解复杂模式。主要的激活函数有 sigmoid、tanh与 Relu 三种。

举例 🌰：就像员工报告上来的意见，领导（神经元）不可能机械平均，而是根据情况动态放大或压缩影响。

5️⃣ 学习总结 📝
“卷积是眼睛，池化是缩略图，全连接是大脑，激活函数是灵魂。”

 ﻿#产品经理[话题]#﻿  ﻿#学习日常[话题]#﻿ ","Day23 CNN 基础.png,Day23 深度学习原理.png,Day23 激活函数.png",https://www.xiaohongshu.com/discovery/item/68aef1fb000000001c00ab79?source=webshare&xhsshare=pc_web&xsec_token=AB3qxnVRgP3_PHsn3jiuHow1arl342kjfERnV7tGNE0cc=&xsec_source=pc_share,【Day23】深度学习——CNN 基础,
深度学习 基础原理,学习笔记｜100 天成为AI产品经理 Day22/100,2025/08/22,小红书封面 Day22.png,"🤔思考：深度学习不是魔法，它只是让机器模仿人脑处理信息。
        
1️⃣ 深度学习到底是什么？
深度学习（Deep Learning）是一种 基于多层神经网络 的机器学习方法。 可以把它想象成公司层级汇报：
员工：收集最原始的数据（输入层）
主管：整合分析数据（隐藏层）
CEO：做最终决策（输出层）
        
神经网络的核心运算可以用一行纯字母公式表示：
y = activation( k* x + b )
y：每一层的输出
x：每一层的输入
k：信息“权重”，决定重要性
b：偏置，就像主管的“个人偏见”
activation()：激活函数，决定信号是否“放行”
这就是深度学习的“核心逻辑”：加权 → 偏置 → 激活 → 输出。
        
2️⃣ 激活函数：让模型更聪明 🧩
如果没有激活函数，神经网络只能做“机械平均”，学不到复杂规律。
激活函数就像神经元的“开关”，让模型理解更高维度的特征：
Sigmoid → 输出 0~1，常用于概率预测
Tanh → 输出 -1~1，更适合区分正负关系
ReLU → 大于 0 才保留，小于 0 直接丢弃，计算高效，是视觉类 AI 首选
可以把 ReLU 理解成“重点优先”策略：只关注有价值的特征，丢掉无关噪声。
        
3️⃣ 深度学习是怎么“学”的？
想象你在培训一个新客服小李，整个过程和模型训练几乎一样：
给任务（前向传播） 就像给小李一条用户问题，让他先尝试回答。 → 模型根据输入数据一步步计算出预测结果。
看结果（计算损失） 小李答错了？我们要衡量答案和标准答案的差距。 → 模型会用 Loss 函数计算预测值与真实值之间的误差。
给反馈（反向传播） 我们告诉小李哪里错了、为什么错。 → 模型把误差从最后一层往前传递，更新每层的权重 W 和偏置 b。
反复练习（参数更新 + 多轮迭代） 小李不断练习，答错就调整，直到越学越准。 → 模型会通过多次迭代优化参数，让预测结果越来越接近真实值。
核心逻辑：深度学习不是“写死规则”，而是让模型从大量数据中自动学规律。
        
4️⃣ 产品经理总结 📝
要知道 DL 能做什么：图像识别、语音识别、NLP、推荐系统
要理解 DL 怎么做：神经网络 + 激活函数 + 前向传播 + 反向传播
        
本笔记学习作者“夜雨思晗”《从0构建大模型知识体系（2）：给模型开眼的CNN》，下一篇我们会讲 CNN，拆解机器如何“看见世界”。",Day22 深度学习 .png,https://www.xiaohongshu.com/discovery/item/68ade1a9000000001c033213?source=webshare&xhsshare=pc_web&xsec_token=ABIVQF-ven7l7GiF-7iVbeljLLF92SqCHzJ4_ct8i36VU=&xsec_source=pc_share,【Day22】深度学习——基础原理,
